24,572.078169000,1.233205000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,0,6,4,2,1,
25,572.087730000,0.009561000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,0,5,4,,,12:14
26,572.089900000,0.002170000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,1,6,4,0,1,
27,572.097752000,0.007852000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,1,5,4,,,00:75
28,572.103408000,0.005656000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,2,6,4,0,1,
29,572.107749000,0.004341000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,2,5,4,,,00:75
30,572.108214000,0.000465000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,3,6,4,0,1,
31,572.117776000,0.009562000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,3,5,4,,,00:75
32,572.118050000,0.000274000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,4,6,4,0,1,
33,572.127706000,0.009656000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,4,5,4,,,00:75
34,572.127964000,0.000258000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,5,6,4,1,1,
35,572.137746000,0.009782000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,5,5,4,,,00:54
36,572.138179000,0.000433000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,6,6,4,1,1,
37,572.147719000,0.009540000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,6,5,4,,,00:54
38,572.149417000,0.001698000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,7,6,4,3,1,
39,572.157741000,0.008324000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,7,5,4,,,0a:cc
40,572.158030000,0.000289000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,8,6,4,0,1,
41,572.167714000,0.009684000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,8,5,4,,,00:75
42,572.168056000,0.000342000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,9,6,4,0,1,
43,572.177767000,0.009711000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,9,5,4,,,00:75
44,572.178888000,0.001121000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,10,6,4,0,1,
45,572.187775000,0.008887000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,10,5,4,,,00:75
46,572.188315000,0.000540000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,11,6,4,1,1,
47,572.197757000,0.009442000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,11,5,4,,,00:54
48,572.200968000,0.003211000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,12,6,4,1,1,
49,572.207755000,0.006787000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,12,5,4,,,00:54
50,572.208554000,0.000799000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,13,6,4,1,1,
51,572.217784000,0.009230000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,13,5,4,,,00:54
52,572.219969000,0.002185000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,14,6,4,1,1,
53,572.227761000,0.007792000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,14,5,4,,,00:54
54,572.242491000,0.014730000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,15,6,4,1,1,
55,572.247781000,0.005290000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,15,5,4,,,00:54
56,572.248580000,0.000799000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,16,6,4,1,1,
57,572.257785000,0.009205000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.51,00:18:63:37:9b:5b,1,502,2499,0,16,5,4,,,00:54
59,572.577375000,0.130302000,66,6,4,192.168.12.51,00:18:63:37:9b:5b,192.168.12.253,00:80:f4:0f:35:aa,1,2499,502,0,17,6,4,2,1,
